Bankcode,Roepnaam bank,Soort locatie,Type vestiging,Adres,Postcode,Plaatsnaam,Telefoonnummer,Email-adres,Offerte,Inventarisatie,Waardering,Advies,Besluitvorming (fase altijd van toepassing maar omdat intern datum bij ons vrijwel nooit bekend),Ontzamelen,Inrichten,Kunst in opdracht,Beheer
1377,Centraal Zuid-Limburg,Hoofdkantoor,"Directie, Staven en Diensten",Overhuizerstraat 4,6351BE,Bocholtz,045-5619000,info.centraalzuidlimburg@rabobank.nl,161026,170105,170105,170105,,nvt,nvt,nvt,nvt
1378,Rijk van Nijmegen,Hoofdkantoor,"Directie, Staven en Diensten",Keizer Karelplein 1,6511NC,Nijmegen,024-3818500,info.rvn@rabobank.nl,151116,nvt,160205,160205,,nvt,nvt,nvt,nvt
1378,Rijk van Nijmegen,Hoofdkantoor,Adviescentrum,Keizer Karelplein 1,6511NC,Nijmegen,024-3818500,info.rvn@rabobank.nl,151116,nvt,160205,160205,,nvt,nvt,nvt,nvt
1378,Rijk van Nijmegen,Bijkantoor,Servicekantoor,Oude Klapstraat 74,6602AG,Wijchen,024-3818500,info.rvn@rabobank.nl,151116,nvt,160205,160205,,nvt,nvt,nvt,nvt
1378,Rijk van Nijmegen,Bijkantoor,"Directie, Staven en Diensten",Promenade 12,6581BV,Malden,024-3818500,info.rvn@rabobank.nl,151116,nvt,160205,160205,,nvt,nvt,nvt,nvt
1378,Rijk van Nijmegen,Bijkantoor,Servicekantoor,Promenade 12,6581BV,Malden,024-3818500,info.rvn@rabobank.nl,151116,nvt,160205,160205,,nvt,nvt,nvt,nvt
1378,Rijk van Nijmegen,Bijkantoor,Servicekantoor,Dorpsstraat 19,6562AA,Groesbeek,024-3818500,info.rvn@rabobank.nl,151116,nvt,160205,160205,,nvt,nvt,nvt,nvt
1388,Het Groene Woud Zuid,Bijkantoor,"Directie, Staven en Diensten",Raadhuisplein 30,5683EA,Best,0499-583800,particulieren.hgwz@rabobank.nl,,,,,,,,,
1388,Het Groene Woud Zuid,Bijkantoor,Verkoopkantoor,Raadhuisplein 30,5683EA,Best,0499-583800,particulieren.hgwz@rabobank.nl,,,,,,,,,
1388,Het Groene Woud Zuid,Bijkantoor,Adviescentrum,Raadhuisplein 30,5683EA,Best,0499-583800,particulieren.hgwz@rabobank.nl,,,,,,,,,
1388,Het Groene Woud Zuid,Bijkantoor,"Directie, Staven en Diensten",Raadhuisplein 30,5683EA,Best,0499-583800,particulieren.hgwz@rabobank.nl,,,,,,,,,
1388,Het Groene Woud Zuid,Hoofdkantoor,Adviescentrum,St Jorisstraat 55,5688AS,Oirschot,0499-583800,particulieren.hgwz@rabobank.nl,,,,,,,,,
1388,Het Groene Woud Zuid,Hoofdkantoor,Verkoopkantoor,St Jorisstraat 55,5688AS,Oirschot,0499-583800,particulieren.hgwz@rabobank.nl,,,,,,,,,
1388,Het Groene Woud Zuid,Hoofdkantoor,"Directie, Staven en Diensten",St Jorisstraat 55,5688AS,Oirschot,0499-583800,particulieren.hgwz@rabobank.nl,,,,,,,,,
1388,Het Groene Woud Zuid,Hoofdkantoor,"Directie, Staven en Diensten",St Jorisstraat 55,5688AS,Oirschot,0499-583800,particulieren.hgwz@rabobank.nl,,,,,,,,,
1388,Het Groene Woud Zuid,Bijkantoor,Verkoopkantoor,Heistraat 6,5691CA,Son en Breugel,0499-583800,info@hgwz.rabobank.nl,,,,,,,,,
1388,Het Groene Woud Zuid,Bijkantoor,Adviescentrum,Heistraat 6,5691CA,Son en Breugel,0499-583800,info@hgwz.rabobank.nl,,,,,,,,,
1389,Hart van Brabant,Hoofdkantoor,"Directie, Staven en Diensten",Burg. Verwielstraat 6,5061JB,Oisterwijk,013-5088100,info.hvb@rabobank.nl,,,,,,,,,
1389,Hart van Brabant,Hoofdkantoor,Verkoopkantoor,Burg. Verwielstraat 6,5061JB,Oisterwijk,013-5088100,info.hvb@rabobank.nl,,,,,,,,,
1389,Hart van Brabant,Bijkantoor,Servicekantoor,Eikenbosch 2,5056GB,Berkel-Enschot,013-5088100,info.hvb@rabobank.nl,,,,,,,,,
1389,Hart van Brabant,Bijkantoor,Servicekantoor,Mgr Bekkersplein 7,5076AZ,Haaren,013-5088100,info.hvb@rabobank.nl,,,,,,,,,
1389,Hart van Brabant,Bijkantoor,Verkoopkantoor,Kreitenmolenstraat 26,5071BE,Udenhout,013-5088100,info.hvb@rabobank.nl,,,,,,,,,
1389,Hart van Brabant,Bijkantoor,Servicekantoor,Sint Jansplein 5,5066AR,Moergestel,013-5088100,info.hvb@rabobank.nl,,,,,,,,,
1389,Hart van Brabant,Bijkantoor,Verkoopkantoor,Vrijthof 1,5081CA,Hilvarenbeek,013-5088100,info.hvb@rabobank.nl,,,,,,,,,
1389,Hart van Brabant,Bijkantoor,Servicekantoor,Kloosterstraat 30,5268AC,Helvoirt,013-5088100,info.hvb@rabobank.nl,,,,,,,,,
1391,Twente Oost,Bijkantoor,Verkoopkantoor,Oldenzaalsestraat 12,7591GM,Denekamp,0541-681500,info@twenteoost.rabobank.nl,,,,,,,,,
1391,Twente Oost,Bijkantoor,"Directie, Staven en Diensten",Oldenzaalsestraat 12,7591GM,Denekamp,0541-681500,info@twenteoost.rabobank.nl,,,,,,,,,
1391,Twente Oost,Bijkantoor,Adviescentrum,Oldenzaalsestraat 12,7591GM,Denekamp,0541-681500,info@twenteoost.rabobank.nl,,,,,,,,,
1391,Twente Oost,Bijkantoor,Verkoopkantoor,Brinkstraat 2,7581GC,Losser,0541-681500,info@twenteoost.rabobank.nl,,,,,,,,,
1391,Twente Oost,Hoofdkantoor,Adviescentrum,Lossersestraat 2,7574AE,Oldenzaal,0541-681500,info@twenteoost.rabobank.nl,,,,,,,,,
1391,Twente Oost,Hoofdkantoor,"Directie, Staven en Diensten",Lossersestraat 2,7574AE,Oldenzaal,0541-681500,info@twenteoost.rabobank.nl,,,,,,,,,
1391,Twente Oost,Bijkantoor,Verkoopkantoor,Kerkstraat 2,7571EE,Oldenzaal,0541-681500,info@twenteoost.rabobank.nl,,,,,,,,,
1429,Salland,Bijkantoor,Verkoopkantoor,Salomonszegel 1,7422LH,Deventer,0570-508555,particulieren.salland@rabobank.nl,,160415,nvt,nvt,,,,,
1429,Salland,Bijkantoor,Verkoopkantoor,Domineeskamp 3,8102CC,Raalte,0570-508555,particulieren.salland@rabobank.nl,,160415,nvt,nvt,,,,,
1429,Salland,Hoofdkantoor,Adviescentrum,Hanzeweg 3,7418AW,Deventer,0570-508555,info.salland@rabobank.nl,,160415,nvt,nvt,,,,,
1429,Salland,Bijkantoor,Verkoopkantoor,Keizerstraat 22,7411HH,Deventer,0570-508555,particulieren.salland@rabobank.nl,,160415,nvt,nvt,,,,,
1441,Roermond-Echt,Bijkantoor,Verkoopkantoor,Nieuwe Markt 8,6101CT,Echt,0475-500500,Particulieren.re@rabobank.nl,,,,,,,,,
1441,Roermond-Echt,Bijkantoor,"Directie, Staven en Diensten",Nieuwe Markt 8,6101CT,Echt,0475-500500,Particulieren.re@rabobank.nl,,,,,,,,,
1441,Roermond-Echt,Bijkantoor,Verkoopkantoor,Europalaan-Centrum 1,6075BV,Herkenbosch,0475-500500,Particulieren.re@rabobank.nl,,,,,,,,,
1441,Roermond-Echt,Bijkantoor,"Directie, Staven en Diensten",Willem II Singel 9,6041HP,Roermond,0475-500500,Particulieren.re@rabobank.nl,,,,,,,,,
1441,Roermond-Echt,Bijkantoor,Verkoopkantoor,Willem II Singel 9,6041HP,Roermond,0475-500500,Particulieren.re@rabobank.nl,,,,,,,,,
1441,Roermond-Echt,Hoofdkantoor,"Directie, Staven en Diensten",Schepersweg 111,6049CV,Herten,0475-500500,Particulieren.re@rabobank.nl,,,,,,,,,
1441,Roermond-Echt,Hoofdkantoor,Adviescentrum,Schepersweg 111,6049CV,Herten,0475-500500,Particulieren.re@rabobank.nl,,,,,,,,,
1443,Zuidwest-Brabant,Bijkantoor,Verkoopkantoor,Dorpsstraat 63,4661HM,Halsteren,0164-562500,Info.zwb@rabobank.nl,,,,,,,,,
1443,Zuidwest-Brabant,Bijkantoor,Verkoopkantoor,Dorpsstraat 63,4661HM,Halsteren,0164-562500,Info.zwb@rabobank.nl,,,,,,,,,
1443,Zuidwest-Brabant,Bijkantoor,Verkoopkantoor,Raadhuisstraat 79,4631NC,Hoogerheide,0164-562500,info.zwb@rabobank.nl,,,,,,,,,
1443,Zuidwest-Brabant,Bijkantoor,"Directie, Staven en Diensten",Laan van Limburg 2,4701BP,Roosendaal,0164-562500,info.zwb@rabobank.nl,,,,,,,,,
1443,Zuidwest-Brabant,Bijkantoor,Servicekantoor,Laan van Limburg 2,4701BP,Roosendaal,0164-562500,info.zwb@rabobank.nl,,,,,,,,,
1443,Zuidwest-Brabant,Bijkantoor,Verkoopkantoor,Laan van Limburg 2,4701BP,Roosendaal,0164-562500,info.zwb@rabobank.nl,,,,,,,,,
1443,Zuidwest-Brabant,Bijkantoor,Adviescentrum,Laan van Limburg 2,4701BP,Roosendaal,0164-562500,info.zwb@rabobank.nl,,,,,,,,,
1443,Zuidwest-Brabant,Bijkantoor,Verkoopkantoor,Fabrieksdijk 6,4651BR,Steenbergen Nb,0164-562500,info.zwb@rabobank.nl,,,,,,,,,
1443,Zuidwest-Brabant,Hoofdkantoor,Verkoopkantoor,Jacob Obrechtlaan 1,4611AP,Bergen op Zoom,0164-562500,info.zwb@rabobank.nl,,,,,,,,,
1458,IJmond,Bijkantoor,Bankwinkel,Hagelingerweg 173-177,2071CD,Santpoort-Noord,023-5133500,info.ijmond@rabobank.nl,,,,,,,,,
1458,IJmond,Bijkantoor,Bankwinkel,Hagelingerweg 173-177,2071CD,Santpoort-Noord,023-5133500,info.ijmond@rabobank.nl,,,,,,,,,
1458,IJmond,Bijkantoor,Bankwinkel,Velserbroekse Dreef 9,1991AN,Velserbroek,023-5133500,info.ijmond@rabobank.nl,,,,,,,,,
1458,IJmond,Bijkantoor,Adviescentrum,Graaf Janstraat 6,1941KG,Beverwijk,023-5133500,info.ijmond@rabobank.nl,,,,,,,,,
1458,IJmond,Bijkantoor,Verkoopkantoor,Graaf Janstraat 6,1941KG,Beverwijk,023-5133500,info.ijmond@rabobank.nl,,,,,,,,,
1458,IJmond,Bijkantoor,Bankwinkel,Stationsplein 23,1948LC,Beverwijk,023-5133500,info.ijmond@rabobank.nl,,,,,,,,,
1458,IJmond,Bijkantoor,Bankwinkel,Burgemeester Nielenplein 6,1961NV,Heemskerk,023-5133500,info.ijmond@rabobank.nl,,,,,,,,,
1458,IJmond,Hoofdkantoor,Adviescentrum,Zadelmakerstraat 150,1991JE,Velserbroek,023-5133500,info.ijmond@rabobank.nl,,,,,,,,,
1458,IJmond,Bijkantoor,Bankwinkel,Kennemerlaan 63,1972EH,IJmuiden,023-5133500,info.ijmond@rabobank.nl,,,,,,,,,
1471,Hart van De Meierij,Chartale service,Verkoopkantoor,Mercuriusplein 80,5258AW,Berlicum Nb,0413-491491,particulieren@hvdm.rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,Verkoopkantoor,Stationsstraat 32,5281GE,Boxtel,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,"Directie, Staven en Diensten",Stationsstraat 32,5281GE,Boxtel,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,Verkoopkantoor,Petrus Dondersplein 14-4,5271AA,Sint-Michielsgestel,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,"Directie, Staven en Diensten",Markt 19,5492AA,Sint-Oedenrode,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,Adviescentrum,Markt 19,5492AA,Sint-Oedenrode,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,Verkoopkantoor,Markt 19,5492AA,Sint-Oedenrode,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,Adviescentrum,Markt 19,5492AA,Sint-Oedenrode,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,Verkoopkantoor,Hoofdstraat 45,5481AA,Schijndel,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,"Directie, Staven en Diensten",Hoofdstraat 45,5481AA,Schijndel,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,Verkoopkantoor,Hoofdstraat 45,5481AA,Schijndel,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,Adviescentrum,Hoogstraat 21,5271SW,Sint-Michielsgestel,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,"Directie, Staven en Diensten",Hoogstraat 21,5271SW,Sint-Michielsgestel,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Bijkantoor,"Directie, Staven en Diensten",Hoogstraat 21,5271SW,Sint-Michielsgestel,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Hoofdkantoor,Adviescentrum,Jan Tinbergenstraat 1,5491DC,Sint-Oedenrode,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Hoofdkantoor,Adviescentrum,Jan Tinbergenstraat 1,5491DC,Sint-Oedenrode,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1471,Hart van De Meierij,Hoofdkantoor,Verkoopkantoor,Jan Tinbergenstraat 1,5491DC,Sint-Oedenrode,0413-491491,particulieren.hvdm@rabobank.nl,161121,,,,,,,,
1476,Westelijke Mijnstreek,Bijkantoor,Bankwinkel,Wethouder Sangersstraat 2,6191NA,Beek Lb,046-4429442,info.wm@rabobank.nl,,,,,,,,,
1476,Westelijke Mijnstreek,Bijkantoor,Adviescentrum,Wethouder Sangersstraat 2,6191NA,Beek Lb,046-4429442,info.wm@rabobank.nl,,,,,,,,,
1476,Westelijke Mijnstreek,Bijkantoor,Bankwinkel,Markt 5,6161GE,Geleen,046-4429442,info.wm@rabobank.nl,,,,,,,,,
1476,Westelijke Mijnstreek,Bijkantoor,"Directie, Staven en Diensten",Markt 5,6161GE,Geleen,046-4429442,info.wm@rabobank.nl,,,,,,,,,
1476,Westelijke Mijnstreek,Bijkantoor,Verkoopkantoor,Markt 5,6161GE,Geleen,046-4429442,info.wm@rabobank.nl,,,,,,,,,
1476,Westelijke Mijnstreek,Bijkantoor,Bankwinkel,Rosmolenstraat 17,6131HW,Sittard,046-4429442,info.wm@rabobank.nl,,,,,,,,,
1476,Westelijke Mijnstreek,Hoofdkantoor,Adviescentrum,Bergerweg 49,6135KD,Sittard,046-4429442,info.wm@rabobank.nl,,,,,,,,,
1512,Tilburg en omstreken,Bijkantoor,Verkoopkantoor,Hoge Ham 89,5104JC,Dongen,013-5379911,Info.Tilburg@rabobank.nl,160525,161109,161109,161109,,nvt,nvt,nvt,
1512,Tilburg en omstreken,Bijkantoor,Verkoopkantoor,Tilburgseweg 97,5051AB,Goirle,013-5379911,Info.Tilburg@rabobank.nl,160525,161109,161109,161109,,nvt,nvt,nvt,
1512,Tilburg en omstreken,Bijkantoor,Verkoopkantoor,Hoofdstraat 62,5121JG,Rijen,013-5379911,Info.Tilburg@rabobank.nl,160525,161109,161109,161109,,nvt,nvt,nvt,
1512,Tilburg en omstreken,Bijkantoor,Verkoopkantoor,Spoorlaan 296,5017JZ,Tilburg,013-5379911,Info.Tilburg@rabobank.nl,160525,161109,161109,161109,,nvt,nvt,nvt,
1512,Tilburg en omstreken,Bijkantoor,Verkoopkantoor,Westermarkt 4,5042MC,Tilburg,013-5379911,Info.Tilburg@rabobank.nl,160525,161109,161109,161109,,nvt,nvt,nvt,
1512,Tilburg en omstreken,Bijkantoor,Verkoopkantoor,Heyhoefpromenade 1,5043RA,Tilburg,013-5379911,Info.Tilburg@rabobank.nl,160525,161109,161109,161109,,nvt,nvt,nvt,
1512,Tilburg en omstreken,Hoofdkantoor,"Directie, Staven en Diensten",Spoorlaan 300,5017JZ,Tilburg,013-5379911,Info.Tilburg@rabobank.nl,160525,161109,161109,161109,,nvt,nvt,nvt,
1512,Tilburg en omstreken,Hoofdkantoor,Adviescentrum,Spoorlaan 300,5017JZ,Tilburg,013-5379911,Info.Tilburg@rabobank.nl,160525,161109,161109,161109,,nvt,nvt,nvt,
1519,Uden Veghel,Bijkantoor,Adviescentrum,Sint Agathaplein 8,5427AB,Boekel,0413-219219,info.udenveghel@rabobank.nl,160404,160513,160513,160513,nvt,,nvt,nvt,nvt
1519,Uden Veghel,Hoofdkantoor,"Directie, Staven en Diensten",Rembrandtlaan 70,5461GH,Veghel,0413-219219,info.udenveghel@rabobank.nl,160404,160513,160513,160513,nvt,,nvt,nvt,nvt
1519,Uden Veghel,Hoofdkantoor,Adviescentrum,Rembrandtlaan 70,5461GH,Veghel,0413-219219,info.udenveghel@rabobank.nl,160404,160513,160513,160513,nvt,,nvt,nvt,nvt
1519,Uden Veghel,Hoofdkantoor,"Directie, Staven en Diensten",Rembrandtlaan 70,5461GH,Veghel,0413-219219,info.udenveghel@rabobank.nl,160404,160513,160513,160513,nvt,,nvt,nvt,nvt
1519,Uden Veghel,Bijkantoor,Adviescentrum,Promenade 75,5401GM,Uden,0413-219219,info.udenveghel@rabobank.nl,160404,160513,160513,160513,nvt,,nvt,nvt,nvt
1519,Uden Veghel,Bijkantoor,Servicepunt,Hertog Janplein 9,5469BK,Erp,0413-219219,info.udenveghel@rabobank.nl,160404,160513,160513,160513,nvt,,nvt,nvt,nvt
1519,Uden Veghel,Bijkantoor,Servicepunt,Kerkstraat 57-59,5411EA,Zeeland,0413-219219,info.udenveghel@abobank.nl,160404,160513,160513,160513,nvt,,nvt,nvt,nvt
1538,Venlo e.o.,Bijkantoor,Verkoopkantoor,Napoleonsbaan Zuid 1,5991NA,Baarlo Lb,077-3893470,info.venlo@rabobank.nl,,,,,,,,,
1538,Venlo e.o.,Bijkantoor,Verkoopkantoor,Stationstraat 6,5953GX,Reuver,077-3893470,info.venlo@rabobank.nl,,,,,,,,,
1538,Venlo e.o.,Bijkantoor,"Directie, Staven en Diensten",Peperstraat 8,5911HA,Venlo,077-3893470,info.venlo@rabobank.nl,,,,,,,,,
1538,Venlo e.o.,Bijkantoor,Verkoopkantoor,Peperstraat 8,5911HA,Venlo,077-3893470,info.venlo@rabobank.nl,,,,,,,,,
1538,Venlo e.o.,Hoofdkantoor,Adviescentrum,Noorderpoort 15,5916PJ,Venlo,077-3893470,info.venlo@rabobank.nl,,,,,,,,,
1558,De Langstraat,Bijkantoor,"Directie, Staven en Diensten",Grotestraat 149,5151BK,Drunen,0416-669100,info.delangstraat@rabobank.nl,160812,161019,161019,161019,,nvt,nvt,nvt,nvt
1558,De Langstraat,Bijkantoor,Verkoopkantoor,Grotestraat 149,5151BK,Drunen,0416-669100,info.delangstraat@rabobank.nl,160812,161019,161019,161019,,nvt,nvt,nvt,nvt
1558,De Langstraat,Bijkantoor,Verkoopkantoor,Anton Pieckplein 5,5171CV,Kaatsheuvel,0416-669100,info.delangstraat@rabobank.nl,160812,161019,161019,161019,,nvt,nvt,nvt,nvt
1558,De Langstraat,Hoofdkantoor,Adviescentrum,Taxandriaweg 8,5141PA,Waalwijk,0416-669100,info.delangstraat@rabobank.nl,160812,161019,161019,161019,,nvt,nvt,nvt,nvt
1569,Weerterland en Cranendonck,Bijkantoor,Adviescentrum,Raadhuisplein 2,6031VR,Nederweert,0495-435435,info.weert@rabobank.nl,,,,,,,,,
1569,Weerterland en Cranendonck,Bijkantoor,Servicekantoor,Raadhuisplein 2,6031VR,Nederweert,0495-435435,info.weert@rabobank.nl,,,,,,,,,
1569,Weerterland en Cranendonck,Hoofdkantoor,"Directie, Staven en Diensten",Kasteelplein 2,6001JC,Weert,0495-435435,info@weert.rabobank.nl,,,,,,,,,
1569,Weerterland en Cranendonck,Hoofdkantoor,Adviescentrum,Kasteelplein 2,6001JC,Weert,0495-435435,info@weert.rabobank.nl,,,,,,,,,
1569,Weerterland en Cranendonck,Bijkantoor,Servicekantoor,Kerkplein 14,6039GH,Stramproy,0495-435435,info.weert@rabobank.nl,,,,,,,,,
1569,Weerterland en Cranendonck,Bijkantoor,Servicekantoor,Dr. Ant. Mathijsenstraat 5,6021CJ,Budel,0495-435435,info.weert@rabobank.nl,,,,,,,,,
1569,Weerterland en Cranendonck,Adviescentrum,Adviescentrum,Wilhelminasingel 16,6001GT,Weert,0495-435435,info.weert@rabobank.nl,,,,,,,,,
1582,Eindhoven-Veldhoven,Bijkantoor,Adviescentrum,Zandoerleseweg 10,5507NJ,Veldhoven,040-2936000,info@Eindhoven-Veldhoven.rabobank.nl,160122,160919,160919,160919,,nvt,nvt,nvt,nvt
1582,Eindhoven-Veldhoven,Bijkantoor,Servicekantoor,Zandoerleseweg 10,5507NJ,Veldhoven,040-2936000,info@Eindhoven-Veldhoven.rabobank.nl,160122,160919,160919,160919,,nvt,nvt,nvt,nvt
1582,Eindhoven-Veldhoven,Bijkantoor,Verkoopkantoor,Zandoerleseweg 10,5507NJ,Veldhoven,040-2936000,info@Eindhoven-Veldhoven.rabobank.nl,160122,160919,160919,160919,,nvt,nvt,nvt,nvt
1582,Eindhoven-Veldhoven,Bijkantoor,"Directie, Staven en Diensten",Zandoerleseweg 10,5507NJ,Veldhoven,040-2936000,info@Eindhoven-Veldhoven.rabobank.nl,160122,160919,160919,160919,,nvt,nvt,nvt,nvt
1582,Eindhoven-Veldhoven,Hoofdkantoor,"Directie, Staven en Diensten",Kronehoefstraat 87,5612HL,Eindhoven,040-2936000,info@eindhoven-veldhoven.rabobank.nl,160122,160919,160919,160919,,nvt,nvt,nvt,nvt
1582,Eindhoven-Veldhoven,Hoofdkantoor,Adviescentrum,Kronehoefstraat 87,5612HL,Eindhoven,040-2936000,info@eindhoven-veldhoven.rabobank.nl,160122,160919,160919,160919,,nvt,nvt,nvt,nvt
1582,Eindhoven-Veldhoven,Bijkantoor,Verkoopkantoor,Winkelcentrum Woensel 400,5625AG,Eindhoven,040-2936000,,160122,160919,160919,160919,,nvt,nvt,nvt,nvt
1582,Eindhoven-Veldhoven,Bijkantoor,Verkoopkantoor,Emmasingel 4,5611AZ,Eindhoven,040-2936000,,160122,160919,160919,160919,,nvt,nvt,nvt,nvt
1582,Eindhoven-Veldhoven,Bijkantoor,Bankwinkel,Meent 2,5501JK,Veldhoven,040-2936000,,160122,160919,160919,160919,,nvt,nvt,nvt,nvt
1582,Eindhoven-Veldhoven,Bijkantoor,Adviescentrum,Fellenoord 15,5612AA,Eindhoven,(040) 2936000,,160122,160919,160919,160919,,nvt,nvt,nvt,nvt
1605,De Zuidelijke Baronie,Bijkantoor,Verkoopkantoor,Bisschop de Vetplein 10,5126CA,Gilze,013-5074000,Info.dzb@rabobank.nl,150115,150224,150224,150224,,nvt,nvt,nvt,
1605,De Zuidelijke Baronie,Chartale service,Verkoopkantoor,Sint Bavostraat 60,4891CK,Rijsbergen,013-5074000,Info.dzb@rabobank.nl,150115,150224,150224,150224,,nvt,nvt,nvt,
1605,De Zuidelijke Baronie,Bijkantoor,Verkoopkantoor,Dorpsstraat 113,4711EG,St. Willebrord,013-5074000,Info.dzb@rabobank.nl,150115,150224,150224,150224,,nvt,nvt,nvt,
1605,De Zuidelijke Baronie,Chartale service,Servicepunt,Pastoor de Bakkerstraat 15,4885AK,Achtmaal,013-5074000,Info.dzb@rabobank.nl,150115,150224,150224,150224,,nvt,nvt,nvt,
1605,De Zuidelijke Baronie,Hoofdkantoor,"Directie, Staven en Diensten",Singel 4,5111CD,Baarle-Nassau,013-5074000,Info.dzb@rabobank.nl,150115,150224,150224,150224,,nvt,nvt,nvt,
1605,De Zuidelijke Baronie,Hoofdkantoor,Verkoopkantoor,Singel 4,5111CD,Baarle-Nassau,013-5074000,Info.dzb@rabobank.nl,150115,150224,150224,150224,,nvt,nvt,nvt,
1605,De Zuidelijke Baronie,Bijkantoor,Verkoopkantoor,Bredaseweg 1,4881DC,Zundert,013-5074000,Info.dzb@rabobank.nl,150115,150224,150224,150224,,nvt,nvt,nvt,
3001,Regio Schiphol,Bijkantoor,Verkoopkantoor,Hoofdweg 706,2132BV,Hoofddorp,023-5498200,Particulieren.regioschiphol@rabobank.nl,150511,150830,150830,150830,,,160407,nvt,
3001,Regio Schiphol,Chartale service,Servicepunt,Muiderbos 110,2134SV,Hoofddorp,023-5498200,particulieren.regioschiphol@rabobank.nl,150511,150830,150830,150830,,,160407,nvt,
3001,Regio Schiphol,Chartale service,Servicekantoor,Kerklaan 28,1424BK,De Kwakel,023-5498200,particulieren.regioschiphol@rabobank.nl,150511,150830,150830,150830,,,160407,nvt,
3001,Regio Schiphol,Hoofdkantoor,"Directie, Staven en Diensten",Polarisavenue 150,2132JX,Hoofddorp,023-5498200,Particulieren.regioschiphol@rabobank.nl,150511,150830,150830,150830,,,160407,nvt,
3001,Regio Schiphol,Hoofdkantoor,Adviescentrum,Polarisavenue 150,2132JX,Hoofddorp,023-5498200,Particulieren.regioschiphol@rabobank.nl,150511,150830,150830,150830,,,160407,nvt,
3001,Regio Schiphol,Bijkantoor,Servicepunt,Stationsweg 8,1431EG,Aalsmeer,023-5498200,Particulieren.regioschiphol@rabobank.nl,150511,150830,150830,150830,,,160407,nvt,
3001,Regio Schiphol,Bijkantoor,Verkoopkantoor,Zijdstraat 2,1431EC,Aalsmeer,023-5498200,particulieren.regioschiphol@rabobank.nl,150511,150830,150830,150830,,,160407,nvt,
3002,Noord- en Oost-Achterhoek,Hoofdkantoor,Verkoopkantoor,Oude Winterswijkseweg 1,7141DE,Groenlo,0544-474747,particulieren.noa@rabobank.nl,160503,160628,160628,160628,,,,,
3002,Noord- en Oost-Achterhoek,Hoofdkantoor,"Directie, Staven en Diensten",Oude Winterswijkseweg 1,7141DE,Groenlo,0544-474747,particulieren.noa@rabobank.nl,160503,160628,160628,160628,,,,,
3002,Noord- en Oost-Achterhoek,Bijkantoor,Servicekantoor,Hofstraat 6,7121DM,Aalten,0544-474747,particulieren.noa@rabobank.nl,160503,160628,160628,160628,,,,,
3002,Noord- en Oost-Achterhoek,Bijkantoor,Verkoopkantoor,Zutphenseweg 26,7251DK,Vorden,0544-474747,particulieren.noa@rabobank.nl,160503,160628,160628,160628,,,,,
3002,Noord- en Oost-Achterhoek,Bijkantoor,Verkoopkantoor,Burgemeester Bosmastraat 41,7101DE,Winterswijk,0544-474747,particulieren.noa@rabobank.nl,160503,160628,160628,160628,,,,,
3002,Noord- en Oost-Achterhoek,Bijkantoor,Verkoopkantoor,Walderstraat 39,7241BH,Lochem,0544-474747,particulieren.noa@rabobank.nl,160503,160628,160628,160628,,,,,
3002,Noord- en Oost-Achterhoek,Adviescentrum,Adviescentrum,Dreef 6,7202AG,Zutphen,0544-474747,particulieren.noa@rabobank.nl,160503,160628,160628,160628,,,,,
3002,Noord- en Oost-Achterhoek,Bijkantoor,Verkoopkantoor,Nieuwstad 1,7201NK,Zutphen,0544-474747,particulieren.noa@rabobank.nl,160503,160628,160628,160628,,,,,
3010,Almere,Bijkantoor,Verkoopkantoor,Grote Markt 2,1315JG,Almere,036-5488888,info.almere@rabobank.nl,131127,140110,140110,nvt,,nvt,nvt,nvt,nvt
